0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Lrp1	Dnai1	Cct7	Abi3bp	Cetn2	Gm19990	Samd5	Cops5	Cpeb3	Adprm	Erich2	Psmg2	Tk1	Rnase4	Acot13
Retnlg	3300002A11Rik	Crip2	Tns1	Hsph1	A730020E08Rik	Cby1	Cyp2b10	Nipal1	Serpinb9	Drc1	Cep135	Ereg	Gm33424	Synpo
Mt2	Cfap57	Hacd1	Gas6	Itgb6	Fam216a	Ppp1r42	Prorp	Lgi3	Rnaseh2c	Tcte1	Spc25	Arhgap11a	Hopx	Chia1
Lyar	Ccdc181	Enpep	Cox6b2	Nrg1	Etv5	Cd320	Bcl2l12	Maob	Ifit3	Ccdc180	Fam111a	Dapl1	Arhgap11a	Cldn10
Cd63	Ccdc13	Serpinb6b	Steap4	Ramp1	Rnf144a	Psip1	Ltf	Nrp1	Ndufaf3	Tekt1	Cdk1	Krt15	Hpgds	Swi5
Arg1	Gm26717	Sectm1a	Cep19	Clca3b	Tmem138	Nr4a2	Spef1	Cd200	Pigr	Lrriq1	Ckap2	1700016C15Rik	Ptpmt1	Rsph9
Cops5	Pla2g1b	Cd200	Cep164	Tgfb2	Dusp18	Anxa10	Ifitm1	Slc26a4	Mt3	Wdr66	Gclc	Hspa4l	Prxl2a	Adgrg6
Zdhhc3	Zdhhc1	2610528A11Rik	Map1b	Gpx4	Selenop	Reg1	Rnase4	Dram1	Ppdpf	Rgs22	Wdr12	Fam111a	Tnfsf9	Cep63
Krt17	Lypd2	Iyd	Psip1	Tmem107	Gstt2	Hspa4l	Akip1	Sfta2	4931406C07Rik	Efcab11	Kif11	Lrp1	Krt20	Emp1
Cldn2	Drc1	Cds1	Hmgb2	Cyp4b1	Kcnrg	Plk1	Filip1	Panct2	Scgb1a1	Tmem232	Odf2	Lig1	Arl14	Fam216a
Dclk1	Ttc29	Igfbp7	Adssl1	Ccl5	Mdm1	Iqub	Epp13	Gm8113	D730003K21Rik	Wdr93	Stil	Cald1	Ifitm6	Sftpd
4931406C07Rik	Efhb	Kctd14	Mapk8ip1	Pkd2	Dpy30	Ndnf	Gclc	Ly6i	Bpifa1	Dnah9	Ccdc18	Mdm2	Ccdc80	Cybrd1
Msln	Casc1	Gpx3	Lgals1	Krt20	Lamp3	Lrrc6	Rgs10	H2-Aa	Plk5	Fhad1	Kif23	Cenpk	Cftr	Tgfb2
Muc16	Isg20	Fam161b	Hoxaas3	Nipal1	Cenpf	Kank2	Acyp1	Dpp4	1810008I18Rik	Mdh1b	Sass6	Clspn	Gm7361	Itgb6
Rgs10	Katnal2	Hopx	B9d2	Serpinb9	Iftap	Odad1	Fmo2	Arg2	Lbh	Rsph1	Cfap77	Cavin2	Retnlg	St8sia6
Edn1	Lrrc46	Poc1a	Art4	Inhbb	Lbp	Cep295	9130015A21Rik	Tmem243	2700046G09Rik	Nme9	Tk1	Dtl	Dcbld2	Art4
Swi5	Fndc7	Myo15	Cgnl1	Arg1	Kank2	Hpgds	4931406C07Rik	Nkd1	Ptgs1	Oscp1	Tyms	Gm16006	Cdc14a	Dnase1l2
Gm13074	Dthd1	Racgap1	Ldhb	Lif	Cep55	Usp18	Tnip3	Sftpa1	Dmbt1	Ak8	Cep164	Wdr12	Dkkl1	Gpx3
Tpm2	1700037C18Rik	Mylk	S100a10	Tnip3	Ifi44	Ly6k	Lif	Tinag	Cldn18	Dnai4	Efcab11	Bbs4	Afp	Galk1
Bbs4	Ccdc33	Lyar	Fas	Mylk	Ropn1l	Phtf1	Itln1	Lrrk2	Psmb6	Rsph14	Cdca8	Psmc3ip	Myb	4931406C07Rik
Lif	Galnt6	Cryab	Cavin2	Abcg1	Rnase4	ENSMUSG00000095041	Blvrb	Slc34a2	Cetn4	Cep128	Nrg1	Synpo	Fam111a	Ly6k
Selenop	Ccdc113	Eif2b2	Dnah7a	Slc26a4	Acot7	Cpeb3	Rbp4	Wdr19	Vpreb3	Ccdc60	Kif4	Aldh3a1	Sult1b1	Pcsk5
Cyp1b1	Tmem232	Tgfb2	Fn1	Cald1	Efcab11	Mylk	Retnla	Cgnl1	Mndal	Spag6l	Blvrb	Ero1a	Heatr5a	Nudc
Samd5	ENSMUSG00000120266	Lrrc17	Lias	Pclaf	Bphl	C2cd5	Myl1	4931406C07Rik	Hspb11	Cep126	Odf2l	Smc4	Areg	Acox2
Bex4	Ribc1	Dync2h1	Apoc1	Tmem29	Il33	Gm8113	Pir	Hdc	Samd5	Mycbpap	Car6	4930523C07Rik	Erich3	Iigp1
Dynlt2b	Serpinb2	Akr1c19	Gpm6b	Retreg1	Ube2c	Dync2h1	Gm33424	Dnah7a	Wdr54	Fam183b	Tubb6	Rad51	Gm26877	Sox9
Smtn	Gm16201	Car2	Sap30bpos	Tmprss2	Rasgef1a	Ccdc61	Cfh	Piwil4	Msln	Ccdc15	Hmmr	Calm2	Cd63	Cdkn1c
B3galt2	Gm53012	Smtn	Glipr2	Edn2	Lcn2	Igfbp5	Cd63	Lrp2	Ces1f	4930444P10Rik	E2f8	Scn3b	Tmem38a	Hmgb2
Sptssb	Fam47e	Gstt2	Nrg1	Timp3	Lmln	Fetub	Uaca	Acoxl	Ero1a	Cabcoco1	Tulp3	Paqr5	Krt80	Calm3
Hal	Uckl1os	A930001A20Rik	Inhba	Parm1	Ccdc18	Nln	Bpifb5	Lyz1	Dynlt2b	Pbx4	Cdh6	Cep295	Tnnt2	Lcn2
Stoml3	Sntn	Ptgs1	Dynlt2b	Pcm1	Mcm3	Rbp4	St8sia6	Slco2a1	Apoc1	Zmynd12	Ckap2l	Hells	AA986860	Kif23
Strbp	Dnali1	Oaz2	Phldb2	Muc13	Akap5	Arhgap18	Hal	Scgb1c1	Swi5	Spata18	Hspa4l	Srd5a1	Kcne3	Cxcl5
Gm16006	Morc1	Odf2l	Usp2	Gm3776	Kcnmb4	Rgs22	Isyna1	Bicc1	Ager	Dnah3	Lbp	Tyms	Stox1	Inhba
Slc26a9	Nme9	Cavin2	Plac8	Gga1	Stbd1	Hs6st2	Sprr2b	Adcy7	Gm31160	Fbxo36	S100a10	Rflnb	Ifi44	Nrg1
Kctd14	Dpcd	Med9os	Tgfb2	Fhit	E2f8	A730020E08Rik	Psmd11	Slc16a11	Dnase1l2	2610028H24Rik	Areg	Chchd10	Bex4	Ift43
Atf3	Arhgdig	Psip1	Cep63	Itga2	Ccno	Lig1	Heatr5a	Mt2	Fam166b	Rfx2	Adgrg6	Gm15728	Igfbp5	Sftpb
Serpinb9	Odad3	Txndc16	Lrp1	Npnt	Hspa4l	4931406C07Rik	Ascl3	Gpx4	Gp2	Lrrc56	Calm2	Ifit2	Rgs10	Crip2
Alas1	1700029J07Rik	Prdx5	Kank2	Ccdc33	Med24	Abcg1	Cgnl1	Hmgb2	Ly6c1	Nme5	Hells	Mrpl24	Ttc39a	Ift46
Ifit3	Dnah7a	3110082I17Rik	Lbh	Ivl	Dnah7a	Rad51ap1	Alas1	Igfbp7	Upk3a	Cfap43	Cenpk	Cd63	Gm13074	Cyp2s1
Cdc14a	Erich2	Bicc1	Cdkn3	Krt17	6820408C15Rik	Clca3a2	Krt15	Ramp1	Serpinb10	Iqck	Synpo	Ccn1	Ecm1	Tmem213
Calb2	Car12	Casp7	Tspan11	Esco2	Dnai4	Iftap	Gga1	Kank2	Gm43085	Cep152	Myb	Chchd6	Serpinb2	Errfi1
9130015A21Rik	Dnai2	Gga1	4931406C07Rik	Paqr7	Cep135	Cfap298	Plk1	Cd36	Spink2	Fank1	Sgo2a	Trp63	Slc16a11	1700016K19Rik
Vat1	Dcdc2b	4930523C07Rik	Slc23a2	Wfdc18	Fads3	Dtl	Osbpl3	Adam19	Slc26a9	Ccdc191	1700016C15Rik	Etv5	Melk	Klhdc9
