0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Dkk2	Tmem232	Cyp7b1	Emp1	Enpep	Serping1	Cyp26b1	Otop3	Fkbp11	Adgrg6	Phtf1	Sult1b1	Fam189a2	Nid1	Isg15
Dkk3	Paqr5	Cyria	Mxra8	Eln	Sema5a	Cyp2a5	Fam20c	Areg	Ccdc153	Vwa3b	Bpifa1	Vcan	Dnase1l2	Edn1
Cxcl14	Trim10	D630024D03Rik	Adamts15	Elof1	Neb	Cyp2b10	Adh1	Aif1l	Galnt6	Erich2	Ltf	Ddr2	Dnai2	Klf6
Dkkl1	Cfap65	Cyp1b1	Chst11	Erich3	Clca1	Cyp2d10	Aebp1	Rasl11a	Nudt4	Hpgd	Plpp3	Cdh11	Dnai3	Lif
Dctpp1	Cfap53	D730003K21Rik	Ism1	2310003N18Rik	Pkd2	Cyp2e1	H2ac23	Gm8113	Osbpl3	Abr	Dctpp1	Snhg18	Dnai4	Dapl1
Dcn	Ubxn11	Dab2	Bmper	Erp27	Col5a1	Cyp2s1	Lgals1	Igfbp7	1700028P14Rik	Cspp1	Fgfr1	Hmga2	Gpam	Tmem45a
Dcdc2b	Rsph9	Dapl1	Pdzrn3	2010204K13Rik	Plpp3	Cyp4a12b	Akr1b8	Mgp	Col3a1	Gm41556	Pimreg	Cemip	Dnaja4	Gpx3
Dcdc2a	Lrrc2	Dcaf17	Col1a1	Esam	Fgfr1	Cyp4b1	Col16a1	Fbn1	Mcee	Rpgr	Lhfp	Bpifb5	Gm16006	Pdlim3
Cybrd1	Odad1	Dcbld2	Cavin2	Esco2	Lhfp	Cyp7b1	Fgf2	Scgb1a1	Col18a1	Odf2l	Bst2	Nrp2	Dnali1	Colec12
Cyp1b1	Fank1	Dcdc2a	Crispld2	Esm1	Itga2	D430036J16Rik	Nupr1	Cbr3	Nupr1	Sptlc3	Sptssb	Cep63	Dnajb13	Scgb1c1
Cyp26b1	Odf3b	Dcdc2b	Sema6a	Etv5	Retnla	D630024D03Rik	Eln	Ifi27	Serpine2	Ccdc40	Itga2	Avil	Gm16159	Cybrd1
Cyp2a5	Iyd	Dcn	Prrx1	Eva1b	Scara5	Ctxn1	Grem1	Car2	Cfap44	Traf3ip1	Retnla	Piezo2	Gp2	Cldn2
Cyp2b10	Gpx4	Dctpp1	Cd302	F2	Pcsk5	Cst8	Ereg	Oaz2	Prr29	Rsph3a	Kcnq1ot1	Ifi204	Dnajb2	Lyz1
Cyp2d10	Ccdc146	Cyp26b1	Serpinf1	F5	Sulf1	Dab2	Mxra7	Spink5	Cfap45	Sgo2a	Serpinb11	Igfbp4	Dnajc15	Pcnt
Cyp2e1	Strbp	Cybrd1	Frmd5	Fads3	Fam20c	Csrp2	Abi3bp	Cpn1	Nrg1	Iqca	Icam1	Fgf7	Csf2	Pak3
Cyp2s1	Odf2	Dpt	Wnt5a	Fam111a	Aebp1	Cox8b	Thbs1	Fstl1	Clic5	Styxl1	Scara5	Muc20	Gm15889	Adh1
Cyp4a12b	Mak	Csrp2	Maf	Fam118a	Lgals1	Cpe	Bgn	Kng2	Mlf1	Oaz2	Muc20	Plat	Ctxn1	Bcl2l12
Cyp4b1	Ccdc180	Crip3	Piezo2	Fam161a	Igfbp5	Cpeb3	Igsf1	Zeb2	Lrp1	Ccna1	Kif20a	Hs6st2	Dnai1	Emp2
Cyp7b1	Lrrc18	Crispld2	Mfap5	Fam161b	Col16a1	Cpm	Wfdc18	Ccn1	1700088E04Rik	Ift43	Pcsk5	Plekhs1	Gng13	Fam189a2
Cyria	Efhc1	Crnn	Abcc9	Fam166b	Fgf2	Cpn1	Cfh	Gpm6b	Capsl	Stk33	Blvrb	Tnfrsf9	Dnah9	Vcan
D430036J16Rik	Iftap	Crocc2	Iigp1	Fam166c	Eln	Cpxm1	Areg	Enpep	Tmem45b	Cep83	Sulf1	Dkk2	Dnaaf1	Ddr2
D630024D03Rik	Ak9	Cryaa	Ildr2	Fam167a	Grem1	Crabp2	Abca1	Ecm1	Timp1	Lrrc56	Fam20c	Cyp7b1	Dnaaf6b	Cdh11
D730003K21Rik	Cfap100	Crym	Gli2	Erich2	Ereg	Creg1	Fkbp7	Sprr2b	Znhit1	Tekt4	Aebp1	Tbata	Dnah1	Snhg18
Dab2	Oscp1	Csf2	Cdh11	Ereg	Mxra7	Creg2	Ndnf	Dcn	Alox15	Mdm2	9130015A21Rik	Cxcl2	Gpn2	Cbr3
Dapl1	Gm31659	Csgalnact1	Ldhb	Epp13	Abi3bp	Crip1	B430010I23Rik	Gadd45g	Tmem212	B9d1	Lgals1	Poc1a	Gm16160	Hmga2
Dcaf17	Bphl	Cspp1	Colec12	Drc7	Thbs1	Crip2	Ptgs2	Tgfbi	Cib1	1110017D15Rik	Igfbp5	Fcor	Csgalnact1	Cemip
Dcbld2	Lmln	Cst8	Cemip	2310034G01Rik	Bgn	Crip3	Lox	Crym	Slc39a14	Gpx4	Hmga2	Trim17	Dnah10	Bpifb5
Dlgap5	Mlf1	Cybb	Fgf7	Emp2	Cfh	Crispld2	Prorp	Adgrg6	3300002A11Rik	Dync2h1	Col16a1	Fbln2	Dnah12	Osr1
Dlx4	Dnah1	Ctsk	Cd63	Emp3	Abca1	Crnn	Lgals3	Esam	Las1l	Meig1	Tgfbi	Fblim1	Dnah2	Nrp2
Dmbt1	Pttg1	Ctxn1	Col4a1	Eng	Fkbp7	Crocc2	Spon1	Rragd	Krt20	Cep55	Fgf2	Mfap5	Gpd1	Cep63
Dnai3	A930001A20Rik	Cwh43	Dkk3	Enkd1	Ndnf	Cryaa	Nr4a1	Timp3	Drc7	A730020E08Rik	Reg3g	Itgb6	Dnah3	Avil
Dnaja4	Ino80b	Cxcl1	Plat	Enkur	B430010I23Rik	Cryab	Tnc	Col3a1	Ighg2b	Cfap57	H2ac8	Pla1a	Dnah5	Piezo2
Fam161a	Hacd1	Cxcl13	Igfbp4	Eno3	Ptgs2	Crym	Hck	Col18a1	Dnajb2	Hspb11	Fut9	Frmd5	Dnah6	Gm15848
Dnajb13	Cdhr1	Cxcl14	Clmp	Eno4	Lox	Csf2	Mamdc2	Serpine2	Hopx	Ccdc113	Osr1	Mmp2	Dnah7a	Ifi204
Dnajb2	AU040972	Cxcl15	Mmp10	ENSMUSG00000095041	Spon1	Csgalnact1	Aldh1a1	Nrg1	Morc1	Cdk1	Eln	Atp2a3	Dnah7c	Igfbp4
Dnajc15	Tsga10	Cxcl2	Nkd2	Epha7	Nr4a1	Cspp1	Tgfb3	Clic5	Mylpf	A2ml1	Reg1	Dkk3	Dpcd	Fn1
Dnali1	Dnai2	Cxcl5	Pla1a	ENSMUSG00000120019	Tnc	D730003K21Rik	Mmd	Fads3	Arhgef28	Slf1	Grem1	ENSMUSG00000120992	Dpt	Ifi202b
Dnase1l2	Gm10522	Ddo	Fblim1	ENSMUSG00000120266	Hck	Dapl1	Ifitm1	Kcne2	Acot13	Map1a	Ereg	Abcc9	Gng11	Fgf7
Dpcd	Dnah6	Ddr2	Itgb8	ENSMUSG00000120458	Mamdc2	Dnajb2	Sema3a	Lrp1	Serping1	Ubxn11	Mxra7	Prrx1	Cryaa	Cdo1
Dpp4	Acox2	Ddx60	Kank2	ENSMUSG00000120602	Tgfb3	Dlx4	Car12	Gde1	Tppp3	Cisd3	Abi3bp	Ifit1	Dync2li1	Plat
Dpt	Ccp110	Dnai1	Sema3a	ENSMUSG00000120992	Mmd	Dmkn	Mylk	Tmem45b	Sema5a	Cga	Car2	Retnlb	Dynlrb2	Plekhs1
Dpy30	Ccdc17	Dnah10	Mmp2	ENSMUSG00000121112	Sema3a	Dmp1	Nr4a2	Timp1	Dynlrb2	Tomm20l	Clu	Pam16	Dynlt2b	Tnfrsf9
Cst8	Morn2	Dnah12	Spon1	ENSMUSG00000121162	Mylk	Dmrt3	S100a10	Bex4	Neb	A430088P11Rik	Thbs1	Pdzrn3	Gna14	Dkk2
Dpysl3	Tmem212	Dnah2	Limch1	ENSMUSG00000121164	Nr4a2	Dnaaf1	Sparc	Slc39a14	Clca1	Rptoros	Hs6st2	4930523C07Rik	Dynlt4	Dhrs9
Dram1	Lbh	Dnah3	Ddr2	Dspp	Sparc	Dnaaf6b	Sprr2f	Blvrb	Spink2	Ccdc191	Bgn	Wnt5a	Dyrk3	Gm31063
Drc1	Calm3	Dnah5	Cxcl13	Dnase1l2	Sprr2f	Dnah1	Ifit2	Krt20	Lgals3bp	Gtf2b	Cfh	Smc2	Gm973	Dnah1
Drc3	Gm31160	Dnah6	Gas6	2610028H24Rik	Ifit2	Dnah10	Clmp	Mylpf	Ift74	Ccdc189	Abca1	Scn5a	E2f7	Dnaaf6b
Drc7	Fam167a	Dnah7a	Ace	3110082I17Rik	Clmp	Dnah12	Igf1	Serping1	Cfap126	Ube2t	Fkbp7	ENSMUSG00000095041	Dpp4	Dnaaf1
