0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Igfbp5	Fam81b	Ptprn	Cfd	Krt16	Sftpd	Tspan6	Kcnj16	Glrx	Cfap298	Osbpl3	Dtl	Fbn1	Ddx60	Synpo
Stc1	Spink2	Kcne2	Serpina3n	Ero1a	Smc4	Atp2a3	Bpifa1	Slc26a9	Nat9	Gm53012	Cenpk	Scgb1a1	Ifi202b	Col15a1
Pi15	Gm1673	Enpep	Slc36a2	Tnip3	Ldhb	Dclk1	Gp2	Ly6c2	Lbh	Spn	Esco2	Dhfr	Igfbp7	Muc20
Dclk1	Sugt1	Car2	Cpxm1	Onecut2	Tspan11	Hck	Muc5b	Clic3	Ccdc78	Irak1bp1	Lig1	Fstl1	Arg1	Retnla
Rorb	Morn5	Nnat	Mlana	Tmprss11d	Rgcc	Cdh2	Cxcl5	Shh	Ankrd42	Iqub	Cenpf	Zeb2	Fmo3	Scgb1a1
Col1a2	D430036J16Rik	Ager	Penk	Serpinb6b	Depdc1a	Sparcl1	Sult1d1	Dram1	Hsph1	Ybx2	Dhfr	Fmo2	Mgp	Sparcl1
Col5a2	Pih1d2	Tns1	Phldb2	S100a10	Napsa	Myl1	Retnla	Tspan11	Tmem216	Elmod1	Areg	Tyms	Sult1d1	Myl1
Fmo3	D730003K21Rik	S100g	Egr3	Rflnb	Rrm2	Stc1	Ces1g	Cldn18	Med31	Dnah5	Ptn	Gpm6b	Fbn1	B430010I23Rik
Igfbp7	Cfap46	Icam1	Fxyd1	Sprr2e	Cgnl1	Pi15	Bpifb5	Adcy7	Pttg1	Cyp2s1	Krt15	Fam111a	Scgb1a1	Plpp3
Myl7	Hspa4l	Rasgef1a	Dhx58os	Edn1	Zdhhc3	Rorb	Aldh3a1	Nrp1	Wdr31	Spef2	Rad51	Ecm1	Ifit3	Stc1
Mgp	Cibar2	Col4a4	Olr1	Tgfb2	Kif4	Col1a2	Isg20	Rasgef1a	Cyp2s1	Fam229b	Mad2l1	Sprr2b	Fstl1	Pi15
Fbn1	Pifo	Gm40457	Armcx2	Srd5a1	Sgo2a	Col5a2	Clu	Cd63	Iglc2	Eno4	Tpx2	Dcn	Zeb2	Dclk1
Scgb1a1	Saxo2	Cryab	Nrp1	Fbln2	Tmem243	Igfbp7	Sparcl1	Lgi3	Ift43	Arhgef28	Kif20b	Ifi202b	Gpm6b	Rorb
Cxcl5	Odf2l	Slc7a11	Saa3	Klf6	Cdca8	Mgp	Muc20	Zdhhc3	D430036J16Rik	Mak	Kif4	Mt2	Ecm1	Col1a2
Fstl1	Gm28729	Clic3	Tbx3	Sprr1a	Rasgef1a	Fbn1	Slc7a11	Adssl1	Ankrd37	Dynlrb2	Mki67	Adgrg6	Sprr2b	Itga2
Zeb2	Dnajb13	Serpinb9	Rasl11a	Npnt	Ccna2	Scgb1a1	Myl1	Arg2	Iqub	Cetn2	Mcm3	Col3a1	Dcn	Col5a2
Crip3	Ak7	Itgb6	Cxcl1	4930523C07Rik	Fkbp11	Fstl1	Fetub	Veph1	Cspp1	8430429K09Rik	Knl1	Col18a1	Adgrg6	Itgb6
